Run	BioProject	Model
SRR26847277	PRJNA1036792	Illumina NovaSeq 6000
SRR26847276	PRJNA1036792	Illumina NovaSeq 6000
SRR26847275	PRJNA1036792	Illumina NovaSeq 6000
SRR26847281	PRJNA1036792	Illumina NovaSeq 6000
SRR26847280	PRJNA1036792	Illumina NovaSeq 6000
SRR26847279	PRJNA1036792	Illumina NovaSeq 6000
SRR26847271	PRJNA1036792	Illumina NovaSeq 6000
SRR26847286	PRJNA1036792	Illumina NovaSeq 6000
SRR26847285	PRJNA1036792	Illumina NovaSeq 6000
SRR30141434	PRJNA1141930	Illumina NovaSeq 6000
SRR30141435	PRJNA1141930	Illumina NovaSeq 6000
SRR30141438	PRJNA1141930	Illumina NovaSeq 6000
SRR29344195	PRJNA1120955	Illumina NovaSeq X Plus
SRR29344194	PRJNA1120955	Illumina HiSeq 4000
SRR29344207	PRJNA1120955	Illumina HiSeq 4000
SRR33481755	PRJNA1260801	Illumina NovaSeq 6000
SRR33481754	PRJNA1260801	Illumina NovaSeq 6000
SRR33481753	PRJNA1260801	Illumina NovaSeq 6000
SRR33481752	PRJNA1260801	Illumina NovaSeq 6000
